abstract,category
In this paper we address a general parameter estimation methodology for an extended biokinetic degradation model [1] for poorly degradable micropollutants. In particular we concentrate on parameter estimation of the micropollutant degradation sub-model by specialised microorganisms. In this case we focus on the case when only substrate degradation data are available and prove the structural identifiability of the model. Further we consider the problem of practical identifiability and propose experimental and related numerical methods for unambiguous parameter estimation based on multiple substrate degradation curves with different initial concentrations. Finally by means of simulated pseudo-experiments we have found convincing indications that the proposed algorithm is stable and yields appropriate parameter estimates even in unfavourable regimes.,Biology
"Temporally and spatially resolved measurements of protein transport inside cells provide important clues to the functional architecture and dynamics of biological systems. Fluorescence Recovery After Photobleaching (FRAP) technique has been used over the past three decades to measure the mobility of macromolecules and protein transport and interaction with immobile structures inside the cell nucleus. A theoretical model is presented that aims to describe protein transport inside the nucleus, a process which is influenced by the presence of a boundary (i.e. membrane). A set of reaction-diffusion equations is employed to model both the diffusion of proteins and their interaction with immobile binding sites. The proposed model has been designed to be applied to biological samples with a Confocal Laser Scanning Microscope (CLSM) equipped with the feature to bleach regions characterised by a scanning beam that has a radially Gaussian distributed profile. The proposed model leads to FRAP curves that depend on the on- and off-rates. Semi-analytical expressions are used to define the boundaries of on- (off-) rate parameter space in simplified cases when molecules move within a bounded domain. The theoretical model can be used in conjunction to experimental data acquired by CLSM to investigate the biophysical properties of proteins in living cells.",Biology
"Genetic recombination can produce heterogeneous phylogenetic histories within a set of homologous genes. Delineating recombination events is important in the study of molecular evolution, as inference of such events provides a clearer picture of the phylogenetic relationships among different gene sequences or genomes. Nevertheless, detecting recombination events can be a daunting task, as the performance of different recombinationdetecting approaches can vary, depending on evolutionary events that take place after recombination. We recently evaluated the effects of postrecombination events on the prediction accuracy of recombination-detecting approaches using simulated nucleotide sequence data. The main conclusion, supported by other studies, is that one should not depend on a single method when searching for recombination events. In this paper, we introduce a two-phase strategy, applying three statistical measures to detect the occurrence of recombination events, and a Bayesian phylogenetic approach in delineating breakpoints of such events in nucleotide sequences. We evaluate the performance of these approaches using simulated data, and demonstrate the applicability of this strategy to empirical data. The two-phase strategy proves to be time-efficient when applied to large datasets, and yields high-confidence results.",Biology
"The architecture of biological networks has been reported to exhibit high level of modularity, and to some extent, topological modules of networks overlap with known functional modules. However, how the modular topology of the molecular network affects the evolution of its member proteins remains unclear. In this work, the functional and evolutionary modularity of Homo sapiens (H. sapiens) metabolic network were investigated from a topological point of view. Network decomposition shows that the metabolic network is organized in a highly modular core-periphery way, in which the core modules are tightly linked together and perform basic metabolism functions, whereas the periphery modules only interact with few modules and accomplish relatively independent and specialized functions. Moreover, over half of the modules exhibit co-evolutionary feature and belong to specific evolutionary ages. Peripheral modules tend to evolve more cohesively and faster than core modules do. The correlation between functional, evolutionary and topological modularity suggests that the evolutionary history and functional requirements of metabolic systems have been imprinted in the architecture of metabolic networks. Such systems level analysis could demonstrate how the evolution of genes may be placed in a genome-scale network context, giving a novel perspective on molecular evolution.",Biology
"Phylogenetic networks are a generalization of phylogenetic trees that allow for the representation of non-treelike evolutionary events, like recombination, hybridization, or lateral gene transfer. In this paper, we present and study a new class of phylogenetic networks, called tree-child phylogenetic networks, where every non-extant species has some descendant through mutation. We provide an injective representation of these networks as multisets of vectors of natural numbers, their path multiplicity vectors, and we use this representation to define a distance on this class and to give an alignment method for pairs of these networks. To the best of our knowledge, they are respectively the first true distance and the first alignment method defined on a meaningful class of phylogenetic networks strictly extending the class of phylogenetic trees. Simple, polynomial algorithms for reconstructing a tree-child phylogenetic network from its path multiplicity vectors, for computing the distance between two tree-child phylogenetic networks, and for aligning a pair of tree-child phylogenetic networks, are provided, and they have been implemented as a Perl package and a Java applet, and they are available at http://bioinfo.uib.es/~recerca/phylonetworks/mudistance",Biology
"As I compress on the canvas of a few pages here major results of my research on the retinoblastoma tumor suppressor protein (RB) spreading over the past 15 years, an exciting picture emerges on this unique host molecule which surpasses in its complexity even that of the most capable viral proteins known to date. Accordingly, RB has the potential to bind not only growth-promoting proteins such as insulin, but also to attach itself to calcium and oxygen, as well as to be secreted into the extracellular environment. Moreover, RB may exert proteolytic, antimicrobial and anti-aging activities. These condensed structure-based insights on RB are the substance of a scientific revolution I have initiated a long time ago, yet likely to gain even further speed in the years to come, thus expanding both our understanding of life at the molecular level and the possibilities for pharmacological modulation of fundamental biological phenomena, particularly in oncology and gerontology.",Biology
"Jansson and Sung showed that, given a dense set of input triplets T (representing hypotheses about the local evolutionary relationships of triplets of species), it is possible to determine in polynomial time whether there exists a level-1 network consistent with T, and if so to construct such a network. They also showed that, unlike in the case of trees (i.e. level-0 networks), the problem becomes NP-hard when the input is non-dense. Here we further extend this work by showing that, when the set of input triplets is dense, the problem is even polynomial-time solvable for the construction of level-2 networks. This shows that, assuming density, it is tractable to construct plausible evolutionary histories from input triplets even when such histories are heavily non-tree like. This further strengthens the case for the use of triplet-based methods in the construction of phylogenetic networks. We also show that, in the non-dense case, the level-2 problem remains NP-hard.",Biology
"Position determination in biological systems is often achieved through protein concentration gradients. Measuring the local concentration of such a protein with a spatially-varying distribution allows the measurement of position within the system. In order for these systems to work effectively, position determination must be robust to noise. Here, we calculate fundamental limits to the precision of position determination by concentration gradients due to unavoidable biochemical noise perturbing the gradients. We focus on gradient proteins with first order reaction kinetics. Systems of this type have been experimentally characterised in both developmental and cell biology settings. For a single gradient we show that, through time-averaging, great precision can potentially be achieved even with very low protein copy numbers. As a second example, we investigate the ability of a system with oppositely directed gradients to find its centre. With this mechanism, positional precision close to the centre improves more slowly with increasing averaging time, and so longer averaging times or higher copy numbers are required for high precision. For both single and double gradients, we demonstrate the existence of optimal length scales for the gradients, where precision is maximized, as well as analyzing how precision depends on the size of the concentration measuring apparatus. Our results provide fundamental constraints on the positional precision supplied by concentration gradients in various contexts, including both in developmental biology and also within a single cell.",Biology
"The organization of the connectivity between mammalian cortical areas has become a major subject of study, because of its important role in scaffolding the macroscopic aspects of animal behavior and intelligence. In this study we present a computational reconstruction approach to the problem of network organization, by considering the topological and spatial features of each area in the primate cerebral cortex as subsidy for the reconstruction of the global cortical network connectivity. Starting with all areas being disconnected, pairs of areas with similar sets of features are linked together, in an attempt to recover the original network structure. Inferring primate cortical connectivity from the properties of the nodes, remarkably good reconstructions of the global network organization could be obtained, with the topological features allowing slightly superior accuracy to the spatial ones. Analogous reconstruction attempts for the C. elegans neuronal network resulted in substantially poorer recovery, indicating that cortical area interconnections are relatively stronger related to the considered topological and spatial properties than neuronal projections in the nematode. The close relationship between area-based features and global connectivity may hint on developmental rules and constraints for cortical networks. Particularly, differences between the predictions from topological and spatial properties, together with the poorer recovery resulting from spatial properties, indicate that the organization of cortical networks is not entirely determined by spatial constraints.",Biology
"Contact patterns in populations fundamentally influence the spread of infectious diseases. Current mathematical methods for epidemiological forecasting on networks largely assume that contacts between individuals are fixed, at least for the duration of an outbreak. In reality, contact patterns may be quite fluid, with individuals frequently making and breaking social or sexual relationships. Here we develop a mathematical approach to predicting disease transmission on dynamic networks in which each individual has a characteristic behavior (typical contact number), but the identities of their contacts change in time. We show that dynamic contact patterns shape epidemiological dynamics in ways that cannot be adequately captured in static network models or mass-action models. Our new model interpolates smoothly between static network models and mass-action models using a mixing parameter, thereby providing a bridge between disparate classes of epidemiological models. Using epidemiological and sexual contact data from an Atlanta high school, we then demonstrate the utility of this method for forecasting and controlling sexually transmitted disease outbreaks.",Biology
"We introduce a simple algorithm for reconstructing phylogenies from multiple gene trees in the presence of incomplete lineage sorting, that is, when the topology of the gene trees may differ from that of the species tree. We show that our technique is statistically consistent under standard stochastic assumptions, that is, it returns the correct tree given sufficiently many unlinked loci. We also show that it can tolerate moderate estimation errors.",Biology
"Despite the spontaneity of some in vitro protein folding reactions, native folding in vivo often requires the participation of barrel-shaped multimeric complexes known as chaperonins. Although it has long been known that chaperonin substrates fold upon sequestration inside the chaperonin barrel, the precise mechanism by which confinement within this space facilitates folding remains unknown. In this study, we examine the possibility that the chaperonin mediates a favorable reorganization of the solvent for the folding reaction. We begin by discussing the effect of electrostatic charge on solvent-mediated hydrophobic forces in an aqueous environment. Based on these initial physical arguments, we construct a simple, phenomenological theory for the thermodynamics of density and hydrogen bond order fluctuations in liquid water. Within the framework of this model, we investigate the effect of confinement within a chaperonin-like cavity on the configurational free energy of water by calculating solvent free energies for cavities corresponding to the different conformational states in the ATP- driven catalytic cycle of the prokaryotic chaperonin GroEL. Our findings suggest that one function of chaperonins may be to trap unfolded proteins and subsequently expose them to a micro-environment in which the hydrophobic effect, a crucial thermodynamic driving force for folding, is enhanced.",Biology
"We study a model ecosystem by means of dynamical techniques from disordered systems theory. The model describes a set of species subject to competitive interactions through a background of resources, which they feed upon. Additionally direct competitive or co-operative interaction between species may occur through a random coupling matrix. We compute the order parameters of the system in a fixed point regime, and identify the onset of instability and compute the phase diagram. We focus on the effects of variability of resources, direct interaction between species, co-operation pressure and dilution on the stability and the diversity of the ecosystem. It is shown that resources can be exploited optimally only in absence of co-operation pressure or direct interaction between species.",Biology
The holographic bound in physics constrains the complexity of life. The finite storage capability of information in the observable universe requires the protein linguistics in the evolution of life. We find that the evolution of genetic code determines the variance of amino acid frequencies and genomic GC content among species. The elegant linguistic mechanism is confirmed by the experimental observations based on all known entire proteomes.,Biology
"Evolution of the spatial arrangement of cells in a primary culture of cardiac tissue derived from newborn rats was studied experimentally over extended period. It was found that cells attract each other spontaneously to form a clustered structure over the timescale of several days. These clusters exhibit spontaneous rhythmic contraction and have been confirmed to consist of cardiac muscle cells. Addition of a contraction inhibitor (2,3-butanedione-2-monoxime) to the culture medium resulted in the inhibition of both the spontaneous contractions exhibited by the cells as well as the formation of clusters. Furthermore, the formation of clusters is suppressed when high concentrations of collagen are used for coating the substratum to which the cells adhere. From these experimental observations, it was deduced that the cells are mechanically stressed by the tension associated with repeated contractions and that this results in the cells becoming compact and attracting each other, finally resulting in the formation of clusters. This process can be interpreted as modulation of a cellular network by the activity associated with contraction, which could be employed to control cellular networks by modifying the dynamics associated with the contractions in cardiac tissue culture.",Biology
"We present a comprehensive computational study of some 900 possible ""lambda-lac"" mutants of the lysogeny maintenance switch in phage lambda, of which up to date 19 have been studied experimentally (Atsumi & Little, PNAS 103: 4558-4563, (2006)). We clarify that these mutants realise regulatory schemes quite different from wild-type lambda, and can therefore be expected to behave differently, within the conventional mechanistic setting in which this problem has often been framed. We verify that indeed, within this framework, across this wide selection of mutants the lambda-lac mutants for the most part either have no stable lytic states, or should only be inducible with difficulty. In particular, the computational results contradicts the experimental finding that four lambda-lac mutants both show stable lysogeny and are inducible. This work hence suggests either that the four out of 900 mutants are special, or that lambda lysogeny and inducibility are holistic effects involving other molecular players or other mechanisms, or both. The approach illustrates the power and versatility of computational systems biology to systematically and quickly test a wide variety of examples and alternative hypotheses for future closer experimental studies.",Biology
"In this work it is shown that 20 canonical amino acids (AAs) within genetic code appear to be a whole system with strict distinction in Genetic Code Table (GCT) into some different quantums: 20, 23, 61 amino acid molecules. These molecules distinction is followed by specific balanced atom number and/or nucleon number distinctions within those molecules. In this second version two appendices are added; also a new version of Periodic system of numbers, whose first verson is given in arXiv:1107.1998 [q-bio.OT].",Biology
"Magnetic tweezers are used to study the mechanical response under torsion of single nucleosome arrays reconstituted on tandem repeats of 5S positioning sequences. Regular arrays are extremely resilient and can reversibly accommodate a large amount of supercoiling without much change in length. This behavior is quantitatively described by a molecular model of the chromatin 3-D architecture. In this model, we assume the existence of a dynamic equilibrium between three conformations of the nucleosome, which are determined by the crossing status of the entry/exit DNAs (positive, null or negative). Torsional strain, in displacing that equilibrium, extensively reorganizes the fiber architecture. The model explains a number of long-standing topological questions regarding DNA in chromatin, and may provide the ground to better understand the dynamic binding of most chromatin-associated proteins.",Biology
"We present a theoretical study of the folding of small proteins inside confining potentials. Proteins are described in the framework of an effective potential model which contains the Ramachandran angles as degrees of freedom and does not need any {\it a priori} information about the native state. Hydrogen bonds, dipole-dipole- and hydrophobic interactions are taken explicitly into account. An interesting feature displayed by this potential is the presence of some intermediates between the unfolded and native states. We consider different types of confining potentials in order to study the structural properties of proteins folding inside cages with repulsive or attractive walls. Using the Wang-Landau algorithm we determine the density of states (DOS) and analyze in detail the thermodynamical properties of the confined proteins for different sizes of the cages. We show that confinement dramatically reduces the phase space available to the protein and that the presence of intermediate states can be controlled by varying the properties of the confining potential. Cages with strongly attractive walls lead to the disappearance of the intermediate states and to a two-state folding into a less stable configuration. However, cages with slightly attractive walls make the native structure more stable than in the case of pure repulsive potentials, and the folding process occurs through intermediate configurations. In order to test the metastable states we analyze the free energy landscapes as a function of the configurational energy and of the end-to-end distance as an order parameter.",Biology
"We discovered a dynamic phase transition induced by sexual reproduction. The dynamics is a pure Darwinian rule with both fundamental ingredients to drive evolution: 1) random mutations and crossings which act in the sense of increasing the entropy (or diversity); and 2) selection which acts in the opposite sense by limiting the entropy explosion. Selection wins this competition if mutations performed at birth are few enough. By slowly increasing the average number m of mutations, however, the population suddenly undergoes a mutational degradation precisely at a transition point mc. Above this point, the ""bad"" alleles spread over the genetic pool of the population, overcoming the selection pressure. Individuals become selectively alike, and evolution stops. Only below this point, m < mc, evolutionary life is possible.   The finite-size-scaling behaviour of this transition is exhibited for large enough ""chromosome"" lengths L. One important and surprising observation is the L-independence of the transition curves, for large L. They are also independent on the population size. Another is that mc is near unity, i.e. life cannot be stable with much more than one mutation per diploid genome, independent of the chromosome length, in agreement with reality. One possible consequence is that an eventual evolutionary jump towards larger L enabling the storage of more genetic information would demand an improved DNA copying machinery in order to keep the same total number of mutations per offspring.",Biology
"Robustness to mutations and noise has been shown to evolve through stabilizing selection for optimal phenotypes in model gene regulatory networks. The ability to evolve robust mutants is known to depend on the network architecture. How do the dynamical properties and state-space structures of networks with high and low robustness differ? Does selection operate on the global dynamical behavior of the networks? What kind of state-space structures are favored by selection? We provide damage propagation analysis and an extensive statistical analysis of state spaces of these model networks to show that the change in their dynamical properties due to stabilizing selection for optimal phenotypes is minor. Most notably, the networks that are most robust to both mutations and noise are highly chaotic. Certain properties of chaotic networks, such as being able to produce large attractor basins, can be useful for maintaining a stable gene-expression pattern. Our findings indicate that conventional measures of stability, such as the damage-propagation rate, do not provide much information about robustness to mutations or noise in model gene regulatory networks.",Biology
"The coevolutionary dynamics in finite populations currently is investigated in a wide range of disciplines, as chemical catalysis, biological evolution, social and economic systems. The dynamics of those systems can be formulated within the unifying framework of evolutionary game theory. However it is not a priori clear which mathematical description is appropriate when populations are not infinitely large. Whereas the replicator equation approach describes the infinite population size limit by deterministic differential equations, in finite populations the dynamics is inherently stochastic which can lead to new effects. Recently, an explicit mean-field description in the form of a Fokker-Planck equation was derived for frequency-dependent selection in finite populations based on microscopic processes. In asymmetric conflicts between two populations with a cyclic dominance, a finite-size dependent drift reversal was demonstrated, depending on the underlying microscopic process of the evolutionary update. Cyclic dynamics appears widely in biological coevolution, be it within a homogeneous population, or be it between disjunct populations as female and male. Here explicit analytic address is given and the average drift is calculated for the frequency-dependent Moran process and for different pairwise comparison processes. It is explicitely shown that the drift reversal cannot occur if the process relies on payoff differences between pairs of individuals. Further, also a linear comparison with the average payoff does not lead to a drift towards the internal fixed point. Hence the nonlinear comparison function of the frequency-dependent Moran process, together with its usage of nonlocal information via the average payoff, is the essential part of the mechanism.",Biology
"In Chile and Uruguay,the gregarious Pteromalidae (Monoksa dorsiplana) has been discovered emerging from seeds of the persistent pods of Acacia caven attacked by the univoltin bruchid Pseudopachymeria spinipes. We investigated the potential for mass rearing of this gregarious ectoparasitoid on an alternative bruchid host, Callosobruchus maculatus, to use it against the bruchidae of native and cultured species of Leguminosea seeds in South America. The mass rearing of M.dorsiplana was carried out in a population cage where the density of egg-laying females per infested seed was increased from 1:1 on the first day to 5:1 on the last (fifth) day. Under these experimental conditions egg-clutch size per host increased, and at the same time the mortality of eggs laid also increased. The density of egg-laying females influenced the sex ratio which tended towards a balance of sons and daughters,in contrast to the sex ratio of a single egg-laying female per host (1 son to 7 daughters). The mean weight of adults emerging from a parasitized host was negatively correlated with the egg-clutch size, i.e., as egg-clutch size increased, adult weight decreased. All these results show that mass rearing of the gregarious ectoparasitoid M.dorsiplana was possible under laboratory conditions on an alternative bruchid host C.maculatus. As M.dorsiplana is a natural enemy of larval and pupal stages of bruchidae, the next step was to investigate whether the biological control of bruchid C.maculatus was possible in an experimental structure of stored beans.",Biology
"The genetic code markup is the assignment of stop codons. The standard genetic code markup ensures the maximum possible stability of genetic information with respect to two fault classes: frameshift and nonsense mutations. There are only 528 (about 1,3% of total number) optimal markups in the set of markups having 3 stop codons. Among the sets of markups with 1,2,...,8 stop codons, the standard case having 3 stop codons has maximum absolute number of optimal markups.",Biology
"The Battle of the Sexes describes asymmetric conflicts in mating behavior of males and females. Males can be philanderer or faithful, while females are either fast or coy, leading to a cyclic dynamics. The adjusted replicator equation predicts stable coexistence of all four strategies. In this situation, we consider the effects of fluctuations stemming from a finite population size. We show that they unavoidably lead to extinction of two strategies in the population. However, the typical time until extinction occurs strongly prolongs with increasing system size. In the meantime, a quasi-stationary probability distribution forms that is anomalously flat in the vicinity of the coexistence state. This behavior originates in a vanishing linear deterministic drift near the fixed point. We provide numerical data as well as an analytical approach to the mean extinction time and the quasi-stationary probability distribution.",Biology
"It has been claimed that different types of causes must be considered in biological systems, including top-down as well as same-level and bottom-up causation, thus enabling the top levels to be causally efficacious in their own right. To clarify this issue, important distinctions between information and signs are introduced here and the concepts of information control and functional equivalence classes in those systems are rigorously defined and used to characterise when top down causation by feedback control happens, in a way that is testable. The causally significant elements we consider are equivalence classes of lower level processes, realised in biological systems through different operations having the same outcome within the context of information control and networks.",Biology
"It has been shown that differences in fecundity variance can influence the probability of invasion of a genotype in a population, i.e. a genotype with lower variance in offspring number can be favored in finite populations even if it has a somewhat lower mean fitness than a competitor. In this paper, Gillespie's results are extended to population genetic systems with explicit age structure, where the demographic variance (variance in growth rate) calculated in the work of Engen and colleagues is used as a generalization of ""variance in offspring number"" to predict the interaction between deterministic and random forces driving change in allele frequency. By calculating the variance from the life history parameters, it is shown that selection against variance in the growth rate will favor a genotypes with lower stochasticity in age specific survival and fertility rates. A diffusion approximation for selection and drift in a population with two genotypes with different life history matrices (and therefore, different growth rates and demographic variances) is derived and shown to be consistent with individual based simulations. It is also argued that for finite populations, perturbation analyses of both the growth rate and demographic variances may be necessary to determine the sensitivity of ""fitness"" (broadly defined) to changes in the life history parameters.",Biology
"Phylogenetic mixtures model the inhomogeneous molecular evolution commonly observed in data. The performance of phylogenetic reconstruction methods where the underlying data is generated by a mixture model has stimulated considerable recent debate. Much of the controversy stems from simulations of mixture model data on a given tree topology for which reconstruction algorithms output a tree of a different topology; these findings were held up to show the shortcomings of particular tree reconstruction methods. In so doing, the underlying assumption was that mixture model data on one topology can be distinguished from data evolved on an unmixed tree of another topology given enough data and the ``correct'' method. Here we show that this assumption can be false. For biologists our results imply that, for example, the combined data from two genes whose phylogenetic trees differ only in terms of branch lengths can perfectly fit a tree of a different topology.",Biology
"Gene regulation is a complex process involving the role of several genomic elements which work in concert to drive spatio-temporal expression. The experimental characterization of gene regulatory elements is a very complex and resource-intensive process. One of the major goals in computational biology is the \textit{in-silico} annotation of previously uncharacterized elements using results from the subset of known, previously annotated, regulatory elements.   The recent results of the ENCODE project (\emph{http://encode.nih.gov}) presented in-depth analysis of such functional (regulatory) non-coding elements for 1% of the human genome. It is hoped that the results obtained on this subset can be scaled to the rest of the genome. This is an extremely important effort which will enable faster dissection of other functional elements in key biological processes such as disease progression and organ development (\cite{Kleinjan2005},\cite{Lieb2006}. The computational annotation of these hitherto uncharacterized regions would require an identification of features that have good predictive value.   In this work, we study transcriptional regulation as a problem in heterogeneous data integration, across sequence, expression and interactome level attributes. Using the example of the \textit{Gata2} gene and its recently discovered urogenital enhancers \cite{Khandekar2004} as a case study, we examine the predictive value of various high throughput functional genomic assays (from projects like ENCODE and SymAtlas) in characterizing these enhancers and their regulatory role. Observing results from the application of modern statistical learning methodologies for each of these data modalities, we propose a set of features that are most discriminatory to find these enhancers.",Biology
"Previous research has shown a strong correlation of protein folding rates to the native state geometry, yet a complete explanation for this dependence is still lacking. Here we study the rate-geometry relationship with a simple statistical physics model, and focus on two classes of model geometries, representing ideal parallel and antiparallel structures. We find that the logarithm of the rate shows an almost perfect linear correlation with the ""absolute contact order"", but the slope depends on the particular class considered. We discuss these findings in the light of experimental results.",Biology
"Questions of understanding and quantifying the representation and amount of information in organisms have become a central part of biological research, as they potentially hold the key to fundamental advances. In this paper, we demonstrate the use of information-theoretic tools for the task of identifying segments of biomolecules (DNA or RNA) that are statistically correlated. We develop a precise and reliable methodology, based on the notion of mutual information, for finding and extracting statistical as well as structural dependencies. A simple threshold function is defined, and its use in quantifying the level of significance of dependencies between biological segments is explored. These tools are used in two specific applications. First, for the identification of correlations between different parts of the maize zmSRp32 gene. There, we find significant dependencies between the 5' untranslated region in zmSRp32 and its alternatively spliced exons. This observation may indicate the presence of as-yet unknown alternative splicing mechanisms or structural scaffolds. Second, using data from the FBI's Combined DNA Index System (CODIS), we demonstrate that our approach is particularly well suited for the problem of discovering short tandem repeats, an application of importance in genetic profiling.",Biology
"We examine the effects of stochastic input currents on the firing behavior of two excitable neurons coupled with fast excitatory synapses. In such cells (models), typified by the quadratic integrate and fire model, mutual synaptic coupling can cause sustained firing or oscillatory behavior which is necessarily antiphase. Additive Gaussian white noise can transiently terminate the oscillations, hence destroying the stable limit cycle. Further application of the noise may return the system to spiking activity. In a particular noise range, the transition times between the oscillating and the resting state are strongly asymmetric. We numerically investigate an approximate basin of attraction, A, of the periodic orbit and use Markov process theory to explain the firing behavior in terms of the probability of escape of trajectories from A",Biology
"Bird flocking is a striking example of collective animal behaviour. A vivid illustration of this phenomenon is provided by the aerial display of vast flocks of starlings gathering at dusk over the roost and swirling with extraordinary spatial coherence. Both the evolutionary justification and the mechanistic laws of flocking are poorly understood, arguably because of a lack of data on large flocks. Here, we report a quantitative study of aerial display. We measured the individual three-dimensional positions in compact flocks of up to 2700 birds. We investigated the main features of the flock as a whole - shape, movement, density and structure - and discuss these as emergent attributes of the grouping phenomenon. We find that flocks are relatively thin, with variable sizes, but constant proportions. They tend to slide parallel to the ground and, during turns, their orientation changes with respect to the direction of motion. Individual birds keep a minimum distance from each other that is comparable to their wingspan. The density within the aggregations is non-homogeneous, as birds are packed more tightly at the border compared to the centre of the flock. These results constitute the first set of large-scale data on three-dimensional animal aggregations. Current models and theories of collective animal behaviour can now be tested against these results.",Biology
"Considering a basic enzyme-catalysed reaction, in which the rate of input of the substrate varies periodically in time, we give a necessary and sufficient condition for the existence of a periodic solution of the reaction equations. The proof employs the Leray-Schauder degree, applied to an appropriately constructed homotopy.",Biology
"Schizophrenia is a severe, currently incurable, relatively common mental condition. Its symptoms are complex and widespread. It structurally and functionally affects cortical and subcortical regions involved in cognitive, emotional and motivational aspects of behavior. Its cause is unknown, its diagnosis is based on statistical behavior and its treatment is elusive.   Our paradigm addresses the complexity of schizophrenic symptoms. Building upon recent neural vulnerability and limbic dysregulation hypotheses, it offers a mathematical model for the evolution of the limbic system under perturbation. Dependence on parameters and the concept of ""bifurcation"" could be the key to understanding the threshold between ""normality"" and ""disease"".",Biology
"Vibrational energy transfer of the amide I mode of N-methylacetamide (NMA) is studied theoretically using the vibrational configuration interaction method. A quartic force field of NMA is constructed at the B3LYP/6-31G+(d) level of theory and its accuarcy is checked by comparing the resulting anharmonic frequencies with available theoretical and experimental values. Quantum dynamics calculations for the amide I mode excitation clarify the dominant energy transfer pathways, which sensitively depend on the anharmonic couplings among vibrational modes. A ratio of the anharmonic coupling to the frequency mismatch is employed to predict and interpret the dominant energy flow pathways.",Biology
"In this paper, we focus on a spatial Holling-type IV predator-prey model which contains some important factors, such as diffusion, noise (random fluctuations) and external periodic forcing. By a brief stability and bifurcation analysis, we arrive at the Hopf and Turing bifurcation surface and derive the symbolic conditions for Hopf and Turing bifurcation in the spatial domain. Based on the stability and bifurcation analysis, we obtain spiral pattern formation via numerical simulation. Additionally, we study the model with colored noise and external periodic forcing. From the numerical results, we know that noise or external periodic forcing can induce instability and enhance the oscillation of the species, and resonant response. Our results show that modeling by reaction-diffusion equations is an appropriate tool for investigating fundamental mechanisms of complex spatiotemporal dynamics.",Biology
"Recently, structural analysis of the human transferrin and growth hormone (GH) amino acid sequences has unravelled that they harbor a motif identical to a pattern found in viral oncoproteins known to bind the primarily nuclear tumor suppressor retinoblastoma protein (RB). Since related signatures had previously been identified also in insulin and the two insulin-like growth factors (IGFs), the aim of the current study has been to investigate whether further hints substantiating these reported homologies can be found in silico. Here, additional similarities are presented supporting the notion of an insulin superfamily of growth-promoting proteins with dual localization in the extracellular environment and the intracellular space, particularly in the nucleus, as well as characterized by a tropism for RB.",Biology
"Constraint-based modeling has been widely used on metabolic networks analysis, such as biosynthetic prediction and flux optimization. The linear constraints, like mass conservation constraint, reversibility constraint, biological capacity constraint, can be imposed on linear algorithms. However, recently a non-linear constraint based on the second thermodynamic law, known as ""loop law"", has emerged and challenged the existing algorithms. Proven to be unfeasible with linear solutions, this non-linear constraint has been successfully imposed on the sampling process. In this place, Monte - Carlo sampling with Metropolis criterion and Simulated Annealing has been introduced to optimize the Biomass synthesis of genome scale metabolic network of Helicobacter pylori (iIT341 GSM / GPR) under mass conservation constraint, biological capacity constraint, and thermodynamic constraints including reversibility and ""loop law"". The sampling method has also been employed to optimize a non-linear objective function, the Biomass synthetic rate, which is unified by the total income number of reducible electrons. To verify whether a sample contains internal loops, an automatic solution has been developed based on solving a set of inequalities. In addition, a new type of pathway has been proposed here, the Futile Pathway, which has three properties: 1) its mass flow could be self-balanced; 2) it has exchange reactions; 3) it is independent to the biomass synthesis. To eliminate the fluxes of the Futile Pathways in the sampling results, a linear programming based method has been suggested and the results have showed improved correlations among the reaction fluxes in the pathways related to Biomass synthesis.",Biology
"Wild animals, pets, zoo animals and mammals of veterinary importance heavily suffer from trypanosomiasis. Drugs with serious side effects are currently mainstay of therapies used by veterinarians. Trypanosomiasis is caused by Trypanosoma sp. leading to sleeping sickness in humans. Surface modified (hydrophobic and lipophilic) amorphous nanoporous silica molecules could be effectively used as therapeutic drug for combating trypanosomiasis. The amorphous nanosilica was developed by top-down approach using volcanic soil derived silica (Advasan; 50- 60 nm size with 3-10 nm inner pore size range) and diatomaceous earth (FS; 60-80 nm size with 3-5 nm inner pore size range) as source materials. According to WHO and USDA standards amorphous silica has long been used as feed additives for several veterinary industries and considered to be safe for human consumption. The basic mechanism of action of these nanosilica molecules is mediated by the physical absorption of HDL components in the lipophilic nanopores of nanosilica. This reduces the supply of the host derived cholesterol, thus limiting the growth of the Trypanosoma sp. in vivo.",Biology
"A coarse-grained computational procedure based on the Finite Element Method is proposed to calculate the normal modes and mechanical response of proteins and their supramolecular assemblies. Motivated by the elastic network model, proteins are modeled as homogeneous isotropic elastic solids with volume defined by their solvent-excluded surface. The discretized Finite Element representation is obtained using a surface simplification algorithm that facilitates the generation of models of arbitrary prescribed spatial resolution. The procedure is applied to compute the normal modes of a mutant of T4 phage lysozyme and of filamentous actin, as well as the critical Euler buckling load of the latter when subject to axial compression. Results compare favorably with all-atom normal mode analysis, the Rotation Translation Blocks procedure, and experiment. The proposed methodology establishes a computational framework for the calculation of protein mechanical response that facilitates the incorporation of specific atomic-level interactions into the model, including aqueous-electrolyte-mediated electrostatic effects. The procedure is equally applicable to proteins with known atomic coordinates as it is to electron density maps of proteins, protein complexes, and supramolecular assemblies of unknown atomic structure.",Biology
